CLASS-CD,CLOCK-IN,DESCRIPTION,LATE,NEGLECT-DUTY,BREAK1,BREAK2,CLOCK-OUT,OVERTIME
100,600,綜合樓餐廳白班,601,604,1000,1100,1400,1430
101,700,行政清潔工白班,701,704,1100,1300,1700,1730
102,700,綜合樓餐廳早晚班,701,704,1100,1500,2000,2030
103,710,線裝白班1,711,714,1110,1150,1620,1650
104,730,塑金成型白班,731,734,1130,1150,1530,1600
105,730,全廠白班,731,734,1200,1300,1600,1630
106,730,線裝白班2,731,734,1130,1230,1630,1700
107,730,線裝白班3,731,734,1130,1240,1640,1710
108,730,塑金白班,731,734,1130,1250,1650,1720
109,740,連接器組裝白班,741,744,1140,1250,1650,1720
110,750,線裝白班4,751,754,1150,1300,1700,1730
111,750,電源白班,751,754,1150,1320,1710,1740
112,800,連接器電鍍白班,801,804,1200,1220,1600,1630
113,800,舍監/通訊/警衛,801,804,1200,1220,1700,1730
114,800,通訊,801,804,1140,1320,1720,1750
115,810,線裝/軟板/影像,811,814,1210,1310,1710,1740
116,810,中央單位白班,811,814,1200,1300,1730,1800
117,900,圖書館/舍監,901,904,1300,1400,1800,1830
118,910,彈性班別1,911,914,1310,1430,1830,1900
119,1000,餐廳晚班,1001,1004,1400,1630,2030,2100
120,1010,彈性班別2,1011,1014,1410,1530,1930,2000
121,810,線裝白班,811,814,1200,1230,1720,1750
122,710,線裝白班5,711,714,1110,1210,1610,1650
123,730,線裝白班6,731,734,1130,1220,1620,1700
124,750,線裝白班7,751,754,1150,1250,1650,1730
125,810,線裝白班8,811,814,1210,1300,1700,1740
126,800,連接器白班,801,804,1100,1130,1630,1700
127,800,光電白班,803,804,1200,1300,1500,1530
128,830,通訊            ,831,834,1230,1330,1730,1800
200,1200,塑金中班1,1201,1204,1600,1630,2000,2030
201,1300,通訊中班,1301,1304,1700,1800,2200,2230
202,1310,彈性班別3,1311,1314,1710,1830,2230,2300
203,1410,彈性班別4,1411,1414,1810,1930,2330,0
204,1530,塑金中班2,1531,1534,1930,2000,0,30
205,1530,塑金中班,1531,1534,1930,2000,2330,0
206,1600,連接器中班,1601,1604,2000,2030,0,30
300,1920,線裝夜班1,1921,1924,2320,2350,410,440
301,1930,塑金夜班,1931,1934,2330,0,400,430
302,1940,線裝夜班2,1941,1944,140,230,430,500
303,2000,連接器電鍍夜班,2001,2004,0,0,400,430
304,2000,線裝夜班3,2001,2004,0,50,450,520
305,2000,通訊/連接器夜班,2001,2004,0,100,500,530
306,2010,通訊/影像夜班,2011,2014,10,40,510,540
307,2010,通訊夜班,2011,2014,10,100,520,550
308,2000,行政警衛夜班,2001,2004,0,30,400,430
309,2020,線裝夜班,2021,2024,0,30,510,540
310,10,軟板晚班,11,14,410,440,810,840
311,2330,塑金晚班,2331,2334,300,330,730,800
312,1930,線裝夜班4,1931,1934,2330,30,430,430
313,1950,線裝夜班5,1951,1954,2350,50,450,450
314,2010,線裝夜班6,2011,2014,10,110,510,510
315,2030,線裝夜班7,2031,2034,30,130,530,530
316,2000,連接器夜班,2001,2004,2300,2330,430,430
317,1930,線裝夜班8,1933,1934,2300,2400,450,600
318,1950,線裝夜班9,1953,1954,2300,2400,510,600
319,2100,通訊            ,2101,2104,0,100,600,630
320,2000,連接器          ,2001,2004,0,100,530,600
400,800,全廠白班,801,804,1200,1300,1700,1730
501,0,通訊成型,1,4,500,510,800,830
